x,power,threshold,cm1,cm2,cm3,acc
48, -1, -1,941.0,885.0,931.0,2757.0
48,1,0,922.0,883.0,928.0,2733.0
48,1,0.1,938.0,881.0,933.0,2752.0
48,1,0.2,932.0,906.0,929.0,2767.0
48,1,0.3,928.0,898.0,915.0,2741.0
48,1,0.4,923.0,904.0,924.0,2751.0
48,1,0.5,928.0,893.0,925.0,2746.0
48,2,0,922.0,883.0,928.0,2733.0
48,2,0.1,930.0,901.0,922.0,2753.0
48,2,0.2,923.0,894.0,921.0,2738.0
48,2,0.3,931.0,911.0,917.0,2759.0
48,2,0.4,920.0,906.0,911.0,2737.0
48,2,0.5,927.0,908.0,918.0,2753.0
48,3,0,922.0,883.0,928.0,2733.0
48,3,0.1,917.0,899.0,918.0,2734.0
48,3,0.2,922.0,913.0,921.0,2756.0
48,3,0.3,929.0,906.0,917.0,2752.0
48,3,0.4,927.0,908.0,905.0,2740.0
48,3,0.5,921.0,919.0,899.0,2739.0
48,5,0,922.0,883.0,928.0,2733.0
48,5,0.1,925.0,900.0,916.0,2741.0
48,5,0.2,930.0,902.0,919.0,2751.0
48,5,0.3,925.0,916.0,902.0,2743.0
48,5,0.4,925.0,897.0,909.0,2731.0
48,5,0.5,922.0,890.0,903.0,2715.0
56, -1, -1,975.0,922.0,963.0,2860.0
56,1,0,987.0,936.0,966.0,2889.0
56,1,0.1,987.0,935.0,977.0,2899.0
56,1,0.2,987.0,948.0,976.0,2911.0
56,1,0.3,988.0,956.0,965.0,2909.0
56,1,0.4,987.0,960.0,968.0,2915.0
56,1,0.5,980.0,941.0,964.0,2885.0
56,2,0,982.0,931.0,972.0,2885.0
56,2,0.1,988.0,959.0,971.0,2918.0
56,2,0.2,990.0,962.0,964.0,2916.0
56,2,0.3,979.0,942.0,974.0,2895.0
56,2,0.4,979.0,916.0,988.0,2883.0
56,2,0.5,906.0,914.0,981.0,2801.0
56,3,0,985.0,937.0,968.0,2890.0
56,3,0.1,990.0,955.0,965.0,2910.0
56,3,0.2,979.0,930.0,981.0,2890.0
56,3,0.3,975.0,919.0,976.0,2870.0
56,3,0.4,838.0,910.0,974.0,2722.0
56,3,0.5,896.0,892.0,978.0,2766.0
56,5,0,984.0,942.0,972.0,2898.0
56,5,0.1,981.0,923.0,987.0,2891.0
56,5,0.2,840.0,905.0,977.0,2722.0
56,5,0.3,891.0,899.0,974.0,2764.0
56,5,0.4,913.0,889.0,972.0,2774.0
56,5,0.5,919.0,881.0,977.0,2777.0
64, -1, -1,968.0,907.0,956.0,2831.0
64,1,0,961.0,948.0,951.0,2860.0
64,1,0.1,963.0,954.0,966.0,2883.0
64,1,0.2,958.0,947.0,945.0,2850.0
64,1,0.3,958.0,959.0,943.0,2860.0
64,1,0.4,960.0,951.0,940.0,2851.0
64,1,0.5,968.0,951.0,948.0,2867.0
64,2,0,956.0,954.0,938.0,2848.0
64,2,0.1,967.0,948.0,956.0,2871.0
64,2,0.2,964.0,952.0,948.0,2864.0
64,2,0.3,960.0,936.0,942.0,2838.0
64,2,0.4,965.0,911.0,941.0,2817.0
64,2,0.5,977.0,906.0,929.0,2812.0
64,3,0,963.0,953.0,956.0,2872.0
64,3,0.1,959.0,948.0,951.0,2858.0
64,3,0.2,968.0,925.0,948.0,2841.0
64,3,0.3,967.0,916.0,929.0,2812.0
64,3,0.4,968.0,906.0,930.0,2804.0
64,3,0.5,956.0,915.0,927.0,2798.0
64,5,0,949.0,945.0,947.0,2841.0
64,5,0.1,967.0,921.0,940.0,2828.0
64,5,0.2,955.0,916.0,939.0,2810.0
64,5,0.3,955.0,923.0,927.0,2805.0
64,5,0.4,953.0,907.0,925.0,2785.0
64,5,0.5,960.0,918.0,926.0,2804.0
96, -1, -1,904.0,895.0,935.0,2734.0
96,1,0,929.0,901.0,932.0,2762.0
96,1,0.1,922.0,900.0,957.0,2779.0
96,1,0.2,929.0,889.0,938.0,2756.0
96,1,0.3,916.0,883.0,925.0,2724.0
96,1,0.4,885.0,872.0,922.0,2679.0
96,1,0.5,856.0,872.0,893.0,2621.0
96,2,0,923.0,907.0,933.0,2763.0
96,2,0.1,920.0,878.0,939.0,2737.0
96,2,0.2,854.0,868.0,907.0,2629.0
96,2,0.3,857.0,878.0,888.0,2623.0
96,2,0.4,860.0,876.0,881.0,2617.0
96,2,0.5,856.0,856.0,877.0,2589.0
96,3,0,917.0,893.0,936.0,2746.0
96,3,0.1,855.0,880.0,900.0,2635.0
96,3,0.2,861.0,873.0,889.0,2623.0
96,3,0.3,853.0,860.0,876.0,2589.0
96,3,0.4,856.0,845.0,872.0,2573.0
96,3,0.5,849.0,816.0,867.0,2532.0
96,5,0,919.0,886.0,929.0,2734.0
96,5,0.1,854.0,866.0,887.0,2607.0
96,5,0.2,855.0,858.0,879.0,2592.0
96,5,0.3,847.0,828.0,867.0,2542.0
96,5,0.4,848.0,791.0,864.0,2503.0
96,5,0.5,824.0,791.0,843.0,2458.0
128, -1, -1,948.0,991.0,943.0,2882.0
128,1,0,960.0,993.0,950.0,2903.0
128,1,0.1,955.0,991.0,948.0,2894.0
128,1,0.2,959.0,989.0,953.0,2901.0
128,1,0.3,955.0,988.0,949.0,2892.0
128,1,0.4,956.0,989.0,944.0,2889.0
128,1,0.5,953.0,987.0,930.0,2870.0
128,2,0,961.0,992.0,951.0,2904.0
128,2,0.1,953.0,990.0,941.0,2884.0
128,2,0.2,949.0,983.0,944.0,2876.0
128,2,0.3,945.0,975.0,932.0,2852.0
128,2,0.4,937.0,980.0,949.0,2866.0
128,2,0.5,930.0,974.0,938.0,2842.0
128,3,0,945.0,994.0,940.0,2879.0
128,3,0.1,944.0,992.0,942.0,2878.0
128,3,0.2,945.0,986.0,944.0,2875.0
128,3,0.3,934.0,980.0,930.0,2844.0
128,3,0.4,923.0,985.0,934.0,2842.0
128,3,0.5,912.0,987.0,917.0,2816.0
128,5,0,939.0,991.0,954.0,2884.0
128,5,0.1,939.0,977.0,942.0,2858.0
128,5,0.2,926.0,985.0,923.0,2834.0
128,5,0.3,904.0,985.0,921.0,2810.0
128,5,0.4,913.0,987.0,914.0,2814.0
128,5,0.5,907.0,980.0,907.0,2794.0
192, -1, -1,995.0,937.0,937.0,2869.0
192,1,0,991.0,963.0,947.0,2901.0
192,1,0.1,991.0,954.0,941.0,2886.0
192,1,0.2,994.0,961.0,942.0,2897.0
192,1,0.3,994.0,956.0,941.0,2891.0
192,1,0.4,996.0,958.0,929.0,2883.0
192,1,0.5,996.0,941.0,925.0,2862.0
192,2,0,991.0,965.0,933.0,2889.0
192,2,0.1,995.0,958.0,936.0,2889.0
192,2,0.2,995.0,942.0,916.0,2853.0
192,2,0.3,992.0,942.0,927.0,2861.0
192,2,0.4,995.0,934.0,926.0,2855.0
192,2,0.5,993.0,936.0,919.0,2848.0
192,3,0,993.0,956.0,949.0,2898.0
192,3,0.1,992.0,954.0,914.0,2860.0
192,3,0.2,995.0,937.0,924.0,2856.0
192,3,0.3,993.0,930.0,923.0,2846.0
192,3,0.4,992.0,925.0,932.0,2849.0
192,3,0.5,995.0,916.0,916.0,2827.0
192,5,0,996.0,961.0,929.0,2886.0
192,5,0.1,995.0,939.0,909.0,2843.0
192,5,0.2,993.0,927.0,916.0,2836.0
192,5,0.3,995.0,924.0,921.0,2840.0
192,5,0.4,993.0,926.0,913.0,2832.0
192,5,0.5,990.0,914.0,901.0,2805.0
