x,power,threshold,cm1,cm2,cm3,acc
48, -1, -1,954.0,917.0,963.0,2834.0
48,1,0,954.0,950.0,973.0,2877.0
48,1,0.1,961.0,925.0,974.0,2860.0
48,1,0.2,957.0,927.0,980.0,2864.0
48,1,0.3,947.0,924.0,977.0,2848.0
48,1,0.4,951.0,906.0,968.0,2825.0
48,1,0.5,936.0,919.0,978.0,2833.0
48,2,0,935.0,922.0,975.0,2832.0
48,2,0.1,949.0,919.0,970.0,2838.0
48,2,0.2,953.0,918.0,985.0,2856.0
48,2,0.3,931.0,922.0,978.0,2831.0
48,2,0.4,907.0,905.0,981.0,2793.0
48,2,0.5,913.0,920.0,977.0,2810.0
48,3,0,945.0,924.0,971.0,2840.0
48,3,0.1,953.0,926.0,980.0,2859.0
48,3,0.2,919.0,914.0,989.0,2822.0
48,3,0.3,911.0,915.0,978.0,2804.0
48,3,0.4,915.0,917.0,969.0,2801.0
48,3,0.5,911.0,898.0,971.0,2780.0
48,5,0,951.0,932.0,975.0,2858.0
48,5,0.1,902.0,923.0,977.0,2802.0
48,5,0.2,915.0,919.0,969.0,2803.0
48,5,0.3,914.0,902.0,970.0,2786.0
48,5,0.4,906.0,873.0,963.0,2742.0
48,5,0.5,883.0,839.0,966.0,2688.0
56, -1, -1,967.0,952.0,963.0,2882.0
56,1,0,981.0,972.0,977.0,2930.0
56,1,0.1,986.0,987.0,973.0,2946.0
56,1,0.2,980.0,987.0,985.0,2952.0
56,1,0.3,979.0,983.0,983.0,2945.0
56,1,0.4,970.0,987.0,985.0,2942.0
56,1,0.5,963.0,988.0,979.0,2930.0
56,2,0,974.0,982.0,978.0,2934.0
56,2,0.1,979.0,989.0,973.0,2941.0
56,2,0.2,977.0,988.0,981.0,2946.0
56,2,0.3,964.0,977.0,966.0,2907.0
56,2,0.4,956.0,974.0,966.0,2896.0
56,2,0.5,977.0,973.0,963.0,2913.0
56,3,0,978.0,977.0,971.0,2926.0
56,3,0.1,982.0,986.0,984.0,2952.0
56,3,0.2,959.0,976.0,968.0,2903.0
56,3,0.3,963.0,971.0,969.0,2903.0
56,3,0.4,975.0,971.0,965.0,2911.0
56,3,0.5,982.0,975.0,954.0,2911.0
56,5,0,977.0,976.0,961.0,2914.0
56,5,0.1,961.0,972.0,970.0,2903.0
56,5,0.2,978.0,977.0,959.0,2914.0
56,5,0.3,978.0,975.0,950.0,2903.0
56,5,0.4,968.0,973.0,958.0,2899.0
56,5,0.5,955.0,971.0,950.0,2876.0
64, -1, -1,976.0,932.0,982.0,2890.0
64,1,0,970.0,968.0,991.0,2929.0
64,1,0.1,971.0,965.0,993.0,2929.0
64,1,0.2,975.0,962.0,992.0,2929.0
64,1,0.3,983.0,967.0,997.0,2947.0
64,1,0.4,980.0,950.0,997.0,2927.0
64,1,0.5,977.0,959.0,992.0,2928.0
64,2,0,969.0,967.0,992.0,2928.0
64,2,0.1,978.0,956.0,993.0,2927.0
64,2,0.2,974.0,951.0,997.0,2922.0
64,2,0.3,966.0,969.0,995.0,2930.0
64,2,0.4,944.0,976.0,997.0,2917.0
64,2,0.5,928.0,965.0,993.0,2886.0
64,3,0,972.0,956.0,995.0,2923.0
64,3,0.1,969.0,955.0,996.0,2920.0
64,3,0.2,952.0,968.0,996.0,2916.0
64,3,0.3,935.0,974.0,996.0,2905.0
64,3,0.4,915.0,958.0,992.0,2865.0
64,3,0.5,871.0,946.0,989.0,2806.0
64,5,0,960.0,964.0,996.0,2920.0
64,5,0.1,944.0,970.0,996.0,2910.0
64,5,0.2,929.0,958.0,992.0,2879.0
64,5,0.3,898.0,955.0,990.0,2843.0
64,5,0.4,846.0,955.0,982.0,2783.0
64,5,0.5,782.0,946.0,976.0,2704.0
96, -1, -1,977.0,938.0,972.0,2887.0
96,1,0,980.0,952.0,973.0,2905.0
96,1,0.1,982.0,950.0,974.0,2906.0
96,1,0.2,978.0,950.0,973.0,2901.0
96,1,0.3,972.0,943.0,967.0,2882.0
96,1,0.4,970.0,948.0,959.0,2877.0
96,1,0.5,967.0,953.0,978.0,2898.0
96,2,0,975.0,959.0,968.0,2902.0
96,2,0.1,980.0,947.0,966.0,2893.0
96,2,0.2,965.0,956.0,959.0,2880.0
96,2,0.3,942.0,955.0,965.0,2862.0
96,2,0.4,926.0,938.0,960.0,2824.0
96,2,0.5,927.0,940.0,959.0,2826.0
96,3,0,977.0,967.0,974.0,2918.0
96,3,0.1,966.0,943.0,975.0,2884.0
96,3,0.2,936.0,952.0,962.0,2850.0
96,3,0.3,916.0,940.0,952.0,2808.0
96,3,0.4,926.0,931.0,957.0,2814.0
96,3,0.5,887.0,898.0,948.0,2733.0
96,5,0,981.0,963.0,959.0,2903.0
96,5,0.1,932.0,938.0,954.0,2824.0
96,5,0.2,921.0,931.0,953.0,2805.0
96,5,0.3,894.0,907.0,947.0,2748.0
96,5,0.4,842.0,897.0,960.0,2699.0
96,5,0.5,743.0,854.0,940.0,2537.0
128, -1, -1,972.0,962.0,967.0,2901.0
128,1,0,970.0,940.0,977.0,2887.0
128,1,0.1,969.0,964.0,971.0,2904.0
128,1,0.2,974.0,960.0,977.0,2911.0
128,1,0.3,959.0,948.0,959.0,2866.0
128,1,0.4,964.0,939.0,942.0,2845.0
128,1,0.5,945.0,951.0,943.0,2839.0
128,2,0,966.0,957.0,976.0,2899.0
128,2,0.1,959.0,957.0,958.0,2874.0
128,2,0.2,945.0,941.0,924.0,2810.0
128,2,0.3,945.0,931.0,928.0,2804.0
128,2,0.4,944.0,930.0,956.0,2830.0
128,2,0.5,922.0,916.0,945.0,2783.0
128,3,0,959.0,950.0,971.0,2880.0
128,3,0.1,953.0,946.0,937.0,2836.0
128,3,0.2,943.0,927.0,952.0,2822.0
128,3,0.3,938.0,915.0,954.0,2807.0
128,3,0.4,914.0,910.0,943.0,2767.0
128,3,0.5,900.0,905.0,949.0,2754.0
128,5,0,948.0,942.0,963.0,2853.0
128,5,0.1,945.0,925.0,949.0,2819.0
128,5,0.2,921.0,916.0,948.0,2785.0
128,5,0.3,909.0,911.0,947.0,2767.0
128,5,0.4,881.0,907.0,944.0,2732.0
128,5,0.5,882.0,914.0,944.0,2740.0
192, -1, -1,935.0,944.0,917.0,2796.0
192,1,0,954.0,945.0,925.0,2824.0
192,1,0.1,955.0,958.0,920.0,2833.0
192,1,0.2,951.0,945.0,932.0,2828.0
192,1,0.3,948.0,926.0,916.0,2790.0
192,1,0.4,944.0,926.0,919.0,2789.0
192,1,0.5,939.0,946.0,921.0,2806.0
192,2,0,955.0,954.0,927.0,2836.0
192,2,0.1,950.0,939.0,933.0,2822.0
192,2,0.2,939.0,946.0,929.0,2814.0
192,2,0.3,936.0,935.0,916.0,2787.0
192,2,0.4,934.0,914.0,909.0,2757.0
192,2,0.5,936.0,911.0,907.0,2754.0
192,3,0,953.0,955.0,926.0,2834.0
192,3,0.1,943.0,930.0,921.0,2794.0
192,3,0.2,935.0,933.0,919.0,2787.0
192,3,0.3,931.0,901.0,907.0,2739.0
192,3,0.4,923.0,920.0,909.0,2752.0
192,3,0.5,920.0,898.0,885.0,2703.0
192,5,0,958.0,961.0,912.0,2831.0
192,5,0.1,942.0,918.0,905.0,2765.0
192,5,0.2,910.0,921.0,920.0,2751.0
192,5,0.3,927.0,887.0,888.0,2702.0
192,5,0.4,911.0,896.0,892.0,2699.0
192,5,0.5,916.0,878.0,878.0,2672.0
